                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6268,                0.65501,                 1.2267,                0.91742,                0.95554,                0.95887,                0.48455,                 1.7388,                0.66617,                 1.4381,              0.0079581,              0.0079581,              0.0079581
                     35,                 1.6034,                0.64441,                 1.2048,                0.95172,                0.97513,                0.97855,                0.53157,                 1.6048,                0.59794,                 1.3839,              0.0078963,              0.0078963,              0.0078963
                     36,                 1.5776,                0.64361,                 1.2113,                0.95338,                0.97061,                0.97679,                0.53469,                 1.5892,                  0.607,                 1.3573,              0.0078344,              0.0078344,              0.0078344
                     37,                 1.6097,                0.65063,                 1.2127,                0.95187,                0.97438,                0.98053,                0.52415,                 1.6437,                0.59187,                 1.4018,              0.0077725,              0.0077725,              0.0077725
                     38,                 1.6299,                0.65788,                 1.2247,                0.95359,                0.97543,                0.98211,                0.52074,                 1.6626,                0.59525,                 1.4304,              0.0077106,              0.0077106,              0.0077106
                     39,                 1.6111,                 0.6528,                 1.2205,                0.94552,                0.96534,                0.97941,                0.51076,                  1.696,                0.61643,                 1.4658,              0.0076488,              0.0076488,              0.0076488
                     40,                 1.5855,                0.63472,                 1.2101,                0.94978,                0.96914,                 0.9802,                0.52008,                 1.6652,                0.59774,                 1.4047,              0.0075869,              0.0075869,              0.0075869
                     41,                 1.6574,                0.66253,                 1.2264,                0.93751,                0.96609,                0.97327,                0.49556,                 1.7572,                0.60486,                  1.457,               0.007525,               0.007525,               0.007525
                     42,                 1.5743,                0.64434,                 1.2135,                 0.9457,                0.95803,                0.97226,                0.54403,                 1.5754,                0.59199,                 1.3725,              0.0074631,              0.0074631,              0.0074631
                     43,                 1.5809,                0.64949,                 1.2326,                0.94881,                0.96684,                0.97472,                0.52571,                 1.6254,                0.59475,                 1.3795,              0.0074013,              0.0074013,              0.0074013
                     44,                 1.6092,                0.65073,                  1.231,                0.96068,                0.97573,                0.98249,                0.54779,                 1.5703,                0.57035,                 1.3691,              0.0073394,              0.0073394,              0.0073394
                     45,                 1.5562,                0.63048,                 1.1962,                0.95928,                 0.9763,                 0.9835,                 0.5357,                 1.6041,                0.56968,                 1.3797,              0.0072775,              0.0072775,              0.0072775
                     46,                 1.6191,                0.65116,                 1.2359,                0.94485,                0.97438,                0.97667,                 0.5417,                 1.5839,                0.58777,                 1.3688,              0.0072156,              0.0072156,              0.0072156
                     47,                 1.5724,                0.62998,                 1.2237,                0.94776,                0.97069,                0.97685,                0.52997,                 1.6226,                0.59801,                 1.4033,              0.0071538,              0.0071538,              0.0071538
                     48,                  1.586,                0.63455,                 1.2018,                0.94749,                0.96541,                0.97293,                0.51701,                 1.6839,                0.59549,                 1.4667,              0.0070919,              0.0070919,              0.0070919
                     49,                 1.6154,                0.64565,                 1.2319,                0.94745,                0.96534,                0.97256,                0.50587,                 1.6878,                0.61411,                  1.428,                0.00703,                0.00703,                0.00703
                     50,                 1.6053,                0.63286,                 1.2056,                0.95116,                0.96835,                0.97917,                0.52627,                 1.6469,                0.59691,                  1.407,              0.0069681,              0.0069681,              0.0069681
                     51,                 1.5779,                0.63557,                  1.161,                0.93309,                0.95633,                0.97016,                0.51631,                 1.6619,                0.61104,                 1.4466,              0.0069063,              0.0069063,              0.0069063
                     52,                 1.5697,                0.63606,                 1.2076,                0.95172,                 0.9656,                0.97411,                0.53766,                 1.6186,                0.58577,                 1.3937,              0.0068444,              0.0068444,              0.0068444
                     53,                 1.5741,                0.62788,                 1.2027,                0.94659,                0.96458,                0.97421,                0.53286,                 1.6521,                0.57323,                 1.4194,              0.0067825,              0.0067825,              0.0067825
                     54,                 1.5905,                0.63183,                 1.1684,                0.94349,                0.96881,                0.97307,                0.50108,                 1.7521,                0.58664,                 1.4979,              0.0067206,              0.0067206,              0.0067206
                     55,                 1.5489,                0.62116,                 1.1634,                0.95301,                0.97136,                0.98059,                0.54063,                 1.6425,                0.57199,                  1.442,              0.0066587,              0.0066587,              0.0066587
                     56,                  1.569,                0.63127,                 1.1902,                0.95254,                0.96797,                0.98005,                0.54101,                  1.647,                0.56824,                 1.4555,              0.0065969,              0.0065969,              0.0065969
                     57,                 1.5553,                0.63018,                 1.1933,                0.94595,                0.96986,                0.97675,                0.52969,                 1.6439,                0.57528,                 1.4406,               0.006535,               0.006535,               0.006535
                     58,                 1.5666,                0.62058,                  1.187,                0.94909,                0.96932,                0.97529,                0.53079,                 1.6348,                0.58056,                 1.4022,              0.0064731,              0.0064731,              0.0064731
                     59,                 1.5638,                0.62239,                  1.148,                 0.9424,                0.96175,                0.96869,                0.51287,                 1.6722,                0.58351,                  1.459,              0.0064112,              0.0064112,              0.0064112
                     60,                 1.5632,                0.63028,                  1.207,                0.94128,                0.97362,                0.97402,                0.52154,                 1.6445,                0.59032,                 1.4429,              0.0063494,              0.0063494,              0.0063494
                     61,                 1.5752,                0.63185,                 1.2193,                0.94961,                0.97212,                0.97547,                0.50666,                 1.6964,                0.57608,                 1.5156,              0.0062875,              0.0062875,              0.0062875
                     62,                 1.5151,                0.61133,                 1.1755,                0.94917,                0.97091,                0.97852,                0.52826,                 1.6413,                0.57654,                 1.4166,              0.0062256,              0.0062256,              0.0062256
                     63,                 1.5235,                0.60752,                 1.1808,                0.94934,                0.97435,                0.97716,                 0.5235,                 1.6378,                0.57316,                 1.4123,              0.0061637,              0.0061637,              0.0061637
                     64,                 1.5604,                0.62226,                 1.2069,                 0.9605,                0.96986,                 0.9811,                0.54665,                 1.5759,                0.55417,                 1.3891,              0.0061019,              0.0061019,              0.0061019
                     65,                 1.4834,                0.59664,                 1.1433,                0.96051,                0.97144,                0.97787,                0.53382,                 1.6366,                 0.5568,                 1.4177,                0.00604,                0.00604,                0.00604
                     66,                 1.5148,                0.61525,                 1.1537,                0.94731,                0.97543,                0.98054,                0.52012,                 1.6661,                 0.5703,                 1.4116,              0.0059781,              0.0059781,              0.0059781
                     67,                 1.4902,                0.60465,                 1.1486,                0.95392,                0.97287,                0.97375,                0.53097,                 1.6307,                0.56048,                  1.402,              0.0059163,              0.0059163,              0.0059163
                     68,                 1.5141,                0.61367,                 1.1551,                0.93564,                0.96401,                0.97035,                0.52136,                 1.6802,                0.58522,                 1.4384,              0.0058544,              0.0058544,              0.0058544
                     69,                 1.5522,                0.62082,                 1.2029,                0.95456,                0.96566,                0.97424,                0.51809,                 1.6723,                0.57079,                 1.4571,              0.0057925,              0.0057925,              0.0057925
                     70,                 1.5012,                0.59913,                 1.1525,                0.94616,                0.96668,                0.97141,                0.51984,                 1.6495,                0.58427,                 1.4389,              0.0057306,              0.0057306,              0.0057306
                     71,                 1.4871,                  0.595,                 1.1535,                0.94431,                0.97106,                0.97293,                 0.5111,                 1.7068,                0.58354,                  1.489,              0.0056688,              0.0056688,              0.0056688
                     72,                 1.5194,                0.61309,                  1.146,                 0.9428,                0.96458,                0.97178,                0.50428,                 1.7077,                0.58752,                 1.5055,              0.0056069,              0.0056069,              0.0056069
                     73,                 1.5009,                0.60002,                   1.17,                0.95124,                 0.9676,                0.97545,                0.49571,                 1.7669,                0.59454,                 1.5399,               0.005545,               0.005545,               0.005545
                     74,                  1.458,                0.59103,                 1.1383,                0.94452,                0.97511,                0.97298,                0.51922,                 1.6645,                0.56891,                 1.4748,              0.0054831,              0.0054831,              0.0054831
                     75,                 1.5089,                0.59989,                 1.1669,                0.95484,                0.96835,                0.97791,                0.52707,                 1.6571,                0.56889,                 1.4586,              0.0054212,              0.0054212,              0.0054212
                     76,                 1.5079,                0.59039,                 1.1723,                0.96029,                0.97136,                0.98486,                0.55785,                 1.5816,                0.55707,                 1.3905,              0.0053594,              0.0053594,              0.0053594
                     77,                 1.4943,                0.59595,                 1.1449,                0.95413,                0.97179,                0.98366,                0.54243,                 1.6198,                0.55288,                 1.4274,              0.0052975,              0.0052975,              0.0052975
                     78,                 1.5116,                0.60236,                  1.157,                0.95243,                0.96563,                0.97648,                0.52913,                 1.6682,                0.56411,                 1.4767,              0.0052356,              0.0052356,              0.0052356
                     79,                 1.5188,                0.60649,                 1.1651,                 0.9517,                0.97362,                0.97631,                0.53936,                 1.6334,                0.56271,                 1.4562,              0.0051737,              0.0051737,              0.0051737
                     80,                 1.4528,                0.58336,                 1.1498,                0.94896,                0.97965,                0.97747,                 0.5481,                 1.5975,                0.55019,                 1.4097,              0.0051119,              0.0051119,              0.0051119
                     81,                 1.4568,                0.57789,                 1.1449,                0.95034,                0.96619,                0.97534,                0.53118,                 1.6558,                 0.5641,                 1.4631,                0.00505,                0.00505,                0.00505
                     82,                 1.4884,                0.59775,                 1.1687,                0.94845,                0.96684,                0.97523,                0.51696,                 1.6739,                0.57598,                 1.4484,              0.0049881,              0.0049881,              0.0049881
                     83,                 1.5021,                0.59741,                 1.1671,                0.94922,                0.97362,                0.97677,                0.53288,                 1.6614,                0.56692,                 1.4471,              0.0049263,              0.0049263,              0.0049263
                     84,                 1.4946,                0.59671,                 1.2087,                0.94223,                0.96232,                0.97235,                0.52283,                 1.6716,                0.58662,                 1.4462,              0.0048644,              0.0048644,              0.0048644
                     85,                 1.4776,                 0.5901,                 1.1595,                0.94484,                0.96986,                0.97271,                0.52404,                 1.6791,                 0.5694,                  1.467,              0.0048025,              0.0048025,              0.0048025
                     86,                 1.4632,                0.58785,                 1.1462,                0.95083,                0.97136,                0.97318,                0.51654,                 1.7113,                 0.5617,                 1.5096,              0.0047406,              0.0047406,              0.0047406
                     87,                 1.4832,                0.58449,                 1.1593,                0.95037,                0.96835,                0.97289,                0.53486,                 1.6534,                0.55335,                 1.4527,              0.0046788,              0.0046788,              0.0046788
                     88,                 1.4939,                0.59864,                 1.1764,                0.94981,                0.96978,                0.97315,                0.52889,                 1.6859,                0.55684,                 1.4879,              0.0046169,              0.0046169,              0.0046169
                     89,                 1.4532,                0.58026,                 1.1623,                0.95484,                0.97184,                0.97669,                0.53506,                 1.6322,                0.54919,                 1.4527,               0.004555,               0.004555,               0.004555
                     90,                  1.463,                0.58616,                 1.1689,                0.95058,                 0.9691,                0.97632,                0.52534,                 1.6681,                0.56318,                 1.4832,              0.0044931,              0.0044931,              0.0044931
                     91,                 1.4853,                0.59407,                 1.1343,                0.95521,                0.97664,                 0.9779,                0.52383,                 1.6759,                0.55512,                 1.4878,              0.0044313,              0.0044313,              0.0044313
                     92,                  1.447,                0.58587,                 1.1301,                0.95773,                0.97664,                0.98428,                0.54115,                 1.6322,                0.54137,                 1.4555,              0.0043694,              0.0043694,              0.0043694
                     93,                 1.4511,                0.57279,                 1.1321,                0.95295,                0.97693,                0.97655,                0.53404,                 1.6297,                0.55036,                 1.4165,              0.0043075,              0.0043075,              0.0043075
                     94,                 1.4416,                0.58258,                 1.1463,                0.95585,                0.97664,                0.97917,                0.52848,                 1.6429,                0.56853,                 1.4248,              0.0042456,              0.0042456,              0.0042456
                     95,                 1.4703,                0.59038,                 1.1412,                0.95299,                0.97773,                0.97969,                0.54577,                 1.6145,                0.54417,                 1.4342,              0.0041837,              0.0041837,              0.0041837
                     96,                  1.461,                 0.5883,                 1.1511,                0.95204,                0.97438,                0.97932,                0.53788,                 1.6277,                 0.5557,                 1.4459,              0.0041219,              0.0041219,              0.0041219
                     97,                 1.4295,                0.57963,                 1.1361,                0.94855,                0.97287,                0.97719,                  0.537,                 1.6344,                0.56227,                 1.4542,                0.00406,                0.00406,                0.00406
                     98,                 1.4436,                0.57784,                 1.1305,                0.95687,                0.97136,                0.97823,                0.53517,                 1.6614,                0.55803,                 1.4763,              0.0039981,              0.0039981,              0.0039981
                     99,                 1.4519,                0.58131,                 1.1331,                0.95487,                 0.9691,                0.98198,                0.54701,                 1.6297,                0.56199,                 1.4386,              0.0039362,              0.0039362,              0.0039362
                    100,                 1.4195,                0.57483,                 1.1204,                0.95208,                0.97061,                0.97799,                0.54187,                 1.6376,                0.55152,                 1.4546,              0.0038744,              0.0038744,              0.0038744
                    101,                  1.465,                0.58096,                 1.1472,                0.94813,                0.96427,                0.96901,                0.51455,                 1.7091,                0.56399,                 1.5414,              0.0038125,              0.0038125,              0.0038125
                    102,                  1.439,                0.56762,                 1.1474,                0.94545,                0.96609,                 0.9711,                0.52753,                 1.6481,                0.55548,                 1.4604,              0.0037506,              0.0037506,              0.0037506
                    103,                 1.4549,                0.58411,                 1.1288,                0.95216,                0.97495,                0.97465,                0.52743,                 1.6758,                0.54956,                 1.4932,              0.0036888,              0.0036888,              0.0036888
                    104,                 1.4299,                0.57206,                 1.1495,                0.95115,                0.96843,                0.97355,                0.53171,                 1.6567,                 0.5565,                 1.4762,              0.0036269,              0.0036269,              0.0036269
                    105,                 1.4481,                0.57915,                 1.1433,                0.95118,                0.96897,                0.97224,                0.52519,                 1.6704,                0.54805,                 1.4967,               0.003565,               0.003565,               0.003565
                    106,                  1.443,                0.58351,                 1.1518,                0.95419,                0.97287,                0.97559,                0.52001,                 1.6781,                0.55803,                 1.4792,              0.0035031,              0.0035031,              0.0035031
                    107,                 1.4276,                0.57278,                 1.1276,                0.94735,                0.96534,                0.96893,                0.51169,                 1.7084,                0.56639,                 1.5219,              0.0034413,              0.0034413,              0.0034413
                    108,                 1.4402,                0.58503,                 1.1354,                0.94884,                0.96986,                 0.9714,                0.50817,                  1.723,                0.56533,                 1.5477,              0.0033794,              0.0033794,              0.0033794
                    109,                 1.3921,                0.56701,                 1.1294,                0.95478,                0.97063,                0.97693,                0.52358,                 1.6893,                 0.5616,                  1.504,              0.0033175,              0.0033175,              0.0033175
                    110,                 1.4222,                0.57675,                  1.169,                0.96043,                0.97362,                0.98097,                0.53095,                 1.6806,                0.55634,                 1.5119,              0.0032556,              0.0032556,              0.0032556
                    111,                 1.4447,                 0.5768,                 1.1407,                0.95749,                 0.9691,                0.97841,                0.53806,                  1.662,                0.54895,                 1.5036,              0.0031938,              0.0031938,              0.0031938
                    112,                 1.3799,                0.55826,                 1.1128,                0.95672,                0.96623,                0.97908,                 0.5457,                 1.6284,                 0.5413,                 1.4549,              0.0031319,              0.0031319,              0.0031319
                    113,                 1.3812,                0.55809,                 1.1245,                0.95762,                0.97212,                0.97745,                0.52914,                 1.6752,                0.54728,                 1.4938,                0.00307,                0.00307,                0.00307
                    114,                 1.4334,                0.57977,                 1.1087,                0.95454,                0.97136,                0.97633,                 0.5287,                 1.6811,                0.54873,                 1.4863,              0.0030081,              0.0030081,              0.0030081
                    115,                 1.4023,                0.56754,                 1.1012,                0.95178,                0.96678,                0.97133,                0.51853,                 1.7042,                0.56026,                 1.5098,              0.0029462,              0.0029462,              0.0029462
                    116,                 1.3806,                0.55579,                 1.1198,                0.95071,                0.96835,                0.97547,                0.53047,                 1.6563,                0.55767,                 1.4428,              0.0028844,              0.0028844,              0.0028844
                    117,                 1.3793,                0.55425,                 1.1059,                0.95055,                0.97362,                0.97896,                0.52867,                 1.6642,                 0.5623,                 1.4525,              0.0028225,              0.0028225,              0.0028225
                    118,                 1.4124,                0.56084,                 1.1173,                0.94919,                0.97145,                0.97703,                0.52201,                 1.6867,                0.55333,                 1.5023,              0.0027606,              0.0027606,              0.0027606
                    119,                 1.4013,                0.55937,                 1.0972,                0.95326,                0.97287,                  0.977,                0.52713,                  1.681,                0.55043,                 1.5037,              0.0026987,              0.0026987,              0.0026987
                    120,                 1.3764,                0.56608,                 1.1067,                0.95411,                0.97149,                0.97863,                0.52968,                  1.668,                0.54759,                 1.4889,              0.0026369,              0.0026369,              0.0026369
                    121,                 1.3714,                0.55378,                 1.1303,                0.95677,                0.96723,                0.97704,                 0.5284,                 1.6574,                0.54652,                 1.4835,               0.002575,               0.002575,               0.002575
                    122,                 1.3791,                0.55067,                 1.1032,                0.95506,                0.97136,                0.97878,                0.52361,                 1.6734,                0.55154,                 1.5006,              0.0025131,              0.0025131,              0.0025131
                    123,                 1.3534,                0.55158,                 1.0917,                0.94999,                0.96684,                0.97614,                0.52458,                 1.6735,                0.55648,                  1.505,              0.0024513,              0.0024513,              0.0024513
                    124,                  1.381,                0.55899,                 1.1184,                0.95319,                0.96681,                0.97839,                0.53487,                 1.6466,                0.54596,                 1.4696,              0.0023894,              0.0023894,              0.0023894
                    125,                 1.3981,                0.56329,                 1.1055,                0.95373,                0.96157,                0.97619,                0.52889,                 1.6702,                0.55712,                 1.4822,              0.0023275,              0.0023275,              0.0023275
                    126,                 1.4003,                0.57245,                 1.0971,                0.94722,                0.96684,                0.97277,                0.52028,                 1.6781,                0.55173,                 1.5156,              0.0022656,              0.0022656,              0.0022656
